country,product_desc,city,source,buyer_name,hs_code,email
MX,Makeup,Guadalajara,KOTRA_SNS,MAYRA,330499.0,
MX,cosmetics,Mxico,KOTRA_SNS,GIST: Gwangju Institute of Science and Technology,330420.0,
GT,"ingredients for cosmetics, containers for cosmetics",Guatemala City,KOTRA_SNS,Pronatt,330499.0,
AR,gel polish,buenos aires,KOTRA_SNS,inversiones DJ86,330430.0,
CL,Korean cosmetics,Santiago,KOTRA_SNS,Unnie Beauty,330499.0,
MX,cosmetics,Monterrey,KOTRA_SNS,Gobierno Estatal,330499.0,
MX,"cream, serum",Santa Matilde,KOTRA_SNS,De Todo,330499.0,
AR,Cosmetics,Buenos Aires,KOTRA_SNS,Independiente,330510.0,
EC,Cosmetics,Machala,KOTRA_SNS,HOSPITAL DEL IESS MACHALA,330499.0,
CO,Cosmetics,Medelln,KOTRA_SNS,Kiwi Shop,330499.0,
PE,Skin care lip dody,Lima,KOTRA_SNS,Camuente s.a,330499.0,
PE,Cosmetics,Arequipa,KOTRA_SNS,ninguna,330499.0,
CO,Info on all range of Korean cosmetics,Bogot,KOTRA_SNS,Fenix,330499.0,
GT,Cosmetics,Ciudad de Guatemala,KOTRA_SNS,Naturel,330499.0,
PK,Cosmetics,Karachi,KOTRA_SNS,corporate freedom,330499.0,
PK,cosmetics,Lahore,KOTRA_SNS,albert pharma pvt ltd,330410.0,
US,cosmetics,New York,KOTRA_SNS,global trading corporation,330499.0,
PK,Cosmetics,Hyderabad,KOTRA_SNS,Wapda,330499.0,
IN,cosmetic,Srinagar,KOTRA_SNS,hotice,330499.0,
PK,All,dinga,KOTRA_SNS,Journalists For International Peace,330499.0,
PK,skin care products,Karachi,KOTRA_SNS,Yunus Textile,330499.0,
BD,cosmetics/ baby/ fmcg,dhaka,KOTRA_SNS,Global hitech,330499.0,
PK,cosmetics,Lahore,KOTRA_SNS,Akbar Industrial companies Ltd,330510.0,
NG,cosmetics,Abuja,KOTRA_SNS,beau la fragrance,330590.0,
KE,cosmetics,Nairobi,KOTRA_SNS,Tamarisk,330499.0,
KE,beuty products,Nairobi,KOTRA_SNS,Light & Hope for Children with Disabilities,330499.0,
NG,Anti ageing and medical products,Lagos,KOTRA_SNS,UNANIA COUTURE,330499.0,
NG,Costmetics and fashion,Lagos,KOTRA_SNS,Beryl Creative,330499.0,
NG,make up,ibadan,KOTRA_SNS,j rose ventures,330410.0,
KE,skin care,Nairobi,KOTRA_SNS,Chassy ltd,330499.0,
EG,Cosmetics,Istanbul,KOTRA_SNS,Rozalinda,330590.0,
JO,Lipstick and foundation,Amman,KOTRA_SNS,Study play KG,330499.0,
QA,Any korean products,Doha,KOTRA_SNS,Hot Shot,330499.0,
SA,Cosmetic,Riyadh,KOTRA_SNS,Nature Visions Trading,330499.0,
EG,all,Giza,KOTRA_SNS,Yasser chemical,330499.0,
JO,cosmetics,Amman,KOTRA_SNS,Alexandra,330790.0,
QA,korean skincare,Doha,KOTRA_SNS,Adamson University,330499.0,
SN,Skin care,Dakar,KOTRA_SNS,Amy beauty &care,330499.0,
KW,Cosmetics,Kuwait City,KOTRA_SNS,Arabella shop,330499.0,
LY,skincare,Tobruk,KOTRA_SNS,Pharmacy,330790.0,
AE,"Beauty, Cosmetics etc",Dubai,KOTRA_SNS,Fash 21 Group,330499.0,
JO,skin care,Amman,KOTRA_SNS,World Bank Project,330499.0,
OM,Cosmetics,Seeb mabailah,KOTRA_SNS,Facebook,330499.0,
JO,Cosmetics,Amman,KOTRA_SNS,SARZ,330499.0,
KW,cosmetics,mahboula,KOTRA_SNS,Emviem globe,330420.0,
OM,cosmetics and skin care,muscat,KOTRA_SNS,essence spa,330499.0,
JO,cosmetics,Amman,KOTRA_SNS,strategy,330499.0,
DZ,cosmetics,Bejaia,KOTRA_SNS,mairie de Bejaia,330491.0,
JO,"hair products , makeup and cosmetics",Amman,KOTRA_SNS,production manager,330510.0,
EG,Beauty and makeup,Cairo,KOTRA_SNS,Online,330499.0,
EG,Face moisturizer,Minya,KOTRA_SNS,STI Academy Private School Philippines,330499.0,
EG,Cosmetics,Abu Hummus,KOTRA_SNS,Elokaby,330499.0,
MA,Makeup,Rabat,KOTRA_SNS,Facebook,330410.0,
AE,Cosmetics and medical device,Dubai,KOTRA_SNS,Skin Clinic,330499.0,
MA,Makeup and cream/ goods,Casablanca,KOTRA_SNS,Merie’s,330491.0,
BG,cosmetics,Svishtov,KOTRA_SNS,Suez Canal University,330790.0,
MA,cosmetic,El jadida,KOTRA_SNS,Gm,330499.0,
AE,"cosmetics,",Dubai,KOTRA_SNS,Hydroequip LLC,330499.0,
PH,cosmetics,Ibra,KOTRA_SNS,MAZAHEER,330749.0,
EG,cosmetics,Giza,KOTRA_SNS,Al Ahly Company'Momken,330499.0,
EG,Makeup,Cairo,KOTRA_SNS,EMC,330491.0,
TR,Beauty products,Tokat merkez,KOTRA_SNS,Adriel hair with flare,330491.0,
MA,Cosmetics,Agadir,KOTRA_SNS,Agadir,330499.0,
TR,Skin care,Istanbul,KOTRA_SNS,Platco X Turkey,330499.0,
TR,cosmetic,Istanbul,KOTRA_SNS,language,330499.0,
LY,cosmetics,Benghazi,KOTRA_SNS,a.n boutique,330499.0,
SA,Cosmetic and medical device’s,Riyadh,KOTRA_SNS,Preventionfield,330499.0,
TZ,Facial daily routine,Mwanza,KOTRA_SNS,Eunice,330499.0,
MZ,Cosmetics,Maputo,KOTRA_SNS,Infinity Styles,330410.0,
NG,cosmetics,Ikorodu,KOTRA_SNS,,330420.0,
KE,hair and beauty,Nairobi,KOTRA_SNS,cutting edge hair and beauty salon,330510.0,
KE,Skin care products,Nairobi,KOTRA_SNS,Skin serenity,330499.0,
ZA,Makeup and hair products,Johannesburg,KOTRA_SNS,ColourGrass WithToes,330410.0,
KE,Cosmetics,Nairobi,KOTRA_SNS,Brand ans style communications,330499.0,
NG,"Jewelry, makeup, bags, hair accesories, ceramics",Lagos,KOTRA_SNS,Queen of Lagosians,330499.0,
TZ,"Beauty cosmetics,cream, lotions,soap & make up",Dar es Salaam,KOTRA_SNS,Benchmark Productions,330499.0,
KE,cosmetics,Nairobi,KOTRA_SNS,Excel fortune company Ltd,330499.0,
NG,Make up,Lagos,KOTRA_SNS,Casaflo Realty,330491.0,
ZA,"makeup, cosmetics",Johannesburg,KOTRA_SNS,private,330410.0,
KE,Cosmetics,Nairobi,KOTRA_SNS,FABHQ BEAUTY,330499.0,
ZA,Skin & Body Treatment devices,Durban,KOTRA_SNS,Eazy Slim,330499.0,
KE,cosmetics,Mombasa,KOTRA_SNS,Gertrude's Children's Hospital,330499.0,
TZ,cosmetics,Dar es Salaam,KOTRA_SNS,ZuRii Africa Ltd,330499.0,
KE,Skin care and Cosmetics,Nairobi,KOTRA_SNS,"Nairobi, Kenya",330499.0,
KE,"Cosmetics, Makeup, Personal Care products",Nairobi,KOTRA_SNS,Skinique Kenya,330410.0,
KE,Masks,Nairobi,KOTRA_SNS,MyCredit Limited,330790.0,
KE,cosmetics,Nairobi,KOTRA_SNS,Alphadon Supplier's,330499.0,
